Round Number,Date,Location,Home Team,Away Team,Group,Match ID
1,14/06/2018 18:00,Luzhniki Stadium- Moscow,Russia,Saudi Arabia,Group A,russia-arabia1
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,egypt-uruguay2
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,morocco-iran3
1,15/06/2018 21:00,Fisht Stadium- Sochi,Portugal,Spain,Group B,portugal-spain4
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,france-australia5
1,16/06/2018 16:00,Otkrytiye Arena- Moscow,Argentina,Iceland,Group D,argentina-iceland6
1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C,peru-denmark7
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,croatia-nigeria8
1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E,costarica-serbia9
1,17/06/2018 18:00,Luzhniki Stadium- Moscow,Germany,Mexico,Group F,germany-mexico10
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,brazil-switzerland11
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,sweden-korea12
1,18/06/2018 18:00,Fisht Stadium- Sochi,Belgium,Panama,Group G,belgium-panama13
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G,tunisia-england14
1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H,colombia-japan15
1,19/06/2018 18:00,Otkrytiye Arena- Moscow,Poland,Senegal,Group H,poland-senegal16
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,russia-egypt17
2,20/06/2018 15:00,Luzhniki Stadium- Moscow,Portugal,Morocco,Group B,portugal-morocco18
2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,uruguay-arabia19
2,20/06/2018 21:00,Kazan Arena,Iran,Spain,Group B,iran-spain20
2,21/06/2018 15:00,Samara Stadium,Denmark,Australia,Group C,denmark-australia21
2,21/06/2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,france-peru22
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,argentina-croatia23
2,22/06/2018 15:00,Saint Petersburg Stadium,Brazil,Costa Rica,Group E,brazil-costarica24
2,22/06/2018 18:00,Volgograd Stadium,Nigeria,Iceland,Group D,nigeria-iceland25
2,22/06/2018 21:00,Kaliningrad Stadium,Serbia,Switzerland,Group E,serbia-switzerland26
2,23/06/2018 15:00,Otkrytiye Arena- Moscow,Belgium,Tunisia,Group G,belgium-tunisia27
2,23/06/2018 18:00,Rostov-on-Don Stadium,Korea Republic,Mexico,Group F,korea-mexico28
